number_of_elements,wtd_gmean_atomic_radius,wtd_gmean_atomic_mass,wtd_std_atomic_mass,gmean_atomic_mass,entropy_atomic_mass,std_fie,wtd_gmean_Density,wtd_mean_Valence,wtd_mean_Valence,wtd_mean_fie,critical_temp
4,84.52842272,36.11661191,53.62253453,66.36159243,1.181795239,323.8118078,53.54381092,2.257142857,2.257142857,1010.268571,29
5,84.37016696,36.39660203,53.97986965,73.13278722,1.449309193,290.1830291,54.09571826,2.257142857,2.257142857,1010.612857,26
4,84.21457324,36.12250904,53.65626773,66.36159243,1.181795239,323.8118078,53.97402237,2.271428571,2.271428571,1010.82,19
4,84.37135205,36.11956035,53.63940497,66.36159243,1.181795239,323.8118078,53.75848629,2.264285714,2.264285714,1010.544286,22
4,84.84344184,36.11071574,53.58877061,66.36159243,1.181795239,323.8118078,53.11702857,2.242857143,2.242857143,1009.717143,23
4,85.47700648,36.09892629,53.52115035,66.36159243,1.181795239,323.8118078,52.27364204,2.214285714,2.214285714,1008.614286,23
4,87.08169408,36.06946951,53.35155798,66.36159243,1.181795239,323.8118078,50.22329802,2.142857143,2.142857143,1005.857143,11
4,84.04112841,35.89136809,52.92413987,59.31009613,1.197273033,314.5059658,53.75192856,2.271428571,2.271428571,1011.484286,33
4,84.1108347,35.77343242,52.53320698,59.31009613,1.197273033,314.5059658,53.42701749,2.264285714,2.264285714,1011.540714,36
4,84.18059881,35.65588427,52.13676921,59.31009613,1.197273033,314.5059658,53.10407039,2.257142857,2.257142857,1011.597143,31
4,84.32030067,35.42194546,51.32686699,59.31009613,1.197273033,314.5059658,52.46402069,2.242857143,2.242857143,1011.71,33
5,85.44527547,37.93423103,60.90309995,82.79331938,1.409442185,303.9566456,54.06426022,2.242857143,2.242857143,1020.902857,26
5,84.2923342,36.25929654,53.81924307,73.13278722,1.449309193,290.1830291,54.03483605,2.264285714,2.264285714,1010.716429,27
5,84.37016696,36.39660203,53.97986965,73.13278722,1.449309193,290.1830291,54.09571826,2.257142857,2.257142857,1010.612857,27
5,84.60409671,36.81164604,54.4478632,73.13278722,1.449309193,290.1830291,54.27877676,2.235714286,2.235714286,1010.302143,26
5,84.99542186,37.51393024,55.18272535,73.13278722,1.449309193,290.1830291,54.5852519,2.2,2.2,1009.784286,27
5,88.77392013,33.31907275,40.7277631,54.8727651,1.419173391,290.5942009,64.28901404,2.076923077,2.076923077,1006.965385,82
4,84.37135205,36.11956035,53.63940497,66.36159243,1.181795239,323.8118078,53.75848629,2.264285714,2.264285714,1010.544286,30
4,84.1108347,35.77343242,52.53320698,59.31009613,1.197273033,314.5059658,53.42701749,2.264285714,2.264285714,1011.540714,39
4,83.97147988,36.00969257,53.30968897,59.31009613,1.197273033,314.5059658,54.07881554,2.278571429,2.278571429,1011.427857,14.8
4,84.04112841,35.89136809,52.92413987,59.31009613,1.197273033,314.5059658,53.75192856,2.271428571,2.271428571,1011.484286,30
4,84.21550256,35.59725512,51.93644666,59.31009613,1.197273033,314.5059658,52.94332962,2.253571429,2.253571429,1011.625357,35.5
4,84.25042079,35.53872237,51.73469999,59.31009613,1.197273033,314.5059658,52.78307539,2.25,2.25,1011.653571,23.3
4,84.32030067,35.42194546,51.32686699,59.31009613,1.197273033,314.5059658,52.46402069,2.242857143,2.242857143,1011.71,18.2
